0,1,2,3,4,5
148,498,592,642,746,898
11,505,831,849,975,965
106,109,179,127,283,919
40,97,139,265,306,656
169,24,624,142,632,850
484,514,526,699,590,742
21,186,282,507,743,767
159,541,636,5,659,866
185,75,476,486,798,923
50,60,409,116,130,300
245,28,459,545,618,612
35,332,376,572,671,749
125,212,394,225,679,690
30,114,6,480,503,977
71,154,219,573,241,793
285,431,470,555,799,848
501,546,650,837,851,889
20,660,761,749,283,792
397,687,606,814,853,910
105,146,234,363,978,679
430,746,34,596,884,972
44,133,201,835,902,991
94,126,793,828,976,992
53,172,501,329,772,970
32,884,423,652,462,995
43,488,841,769,899,983
140,184,247,340,507,975
289,440,81,561,567,620
121,21,211,235,442,963
135,509,544,717,859,562
9,252,287,419,521,732
96,149,327,249,810,822
390,194,416,2,929,557
165,46,522,588,845,971
278,312,881,320,516,892
468,603,585,646,918,956
172,291,249,538,555,787
366,509,475,756,966,976
134,149,203,570,582,593
337,510,568,634,934,802
278,411,595,892,697,782
272,335,596,725,847,783
18,280,363,449,531,868
357,467,614,632,666,712
526,1,161,550,700,860
59,209,363,289,774,913
869,147,191,400,777,986
531,227,533,747,841,864
694,412,676,778,865,946
110,31,170,444,222,931
2,369,629,445,800,946
164,427,463,440,438,889
220,656,705,866,874,917
169,267,374,691,603,816
186,97,141,556,199,943
72,392,605,778,904,954
181,433,938,607,982,968
421,514,653,663,758,826
75,273,166,192,652,890
115,232,980,786,796,870
432,62,305,767,780,990
508,538,593,580,669,965
38,174,193,347,822,738
66,165,179,289,819,863
122,302,312,405,868,472
190,121,359,430,487,664
251,346,417,470,608,768
110,207,39,233,672,926
144,490,659,665,772,781
61,261,325,614,779,782
359,729,769,868,913,995
267,725,31,634,896,897
119,640,329,651,889,931
193,239,250,327,430,569
87,340,196,596,132,677
36,449,694,797,852,825
166,199,813,233,840,875
314,306,345,378,621,816
159,606,678,734,807,934
87,156,248,357,697,890
206,531,639,546,580,972
535,785,594,735,713,812
92,277,814,374,984,997
193,224,198,732,905,760
409,302,488,921,437,686
28,582,796,592,432,991
114,12,27,604,726,944
68,142,869,730,887,909
654,599,670,473,585,768
79,420,404,564,762,625
108,473,599,582,766,978
70,359,560,366,958,946
707,672,478,864,570,912
341,217,324,440,496,771
383,62,379,639,848,997
309,683,555,900,704,917
44,479,583,536,547,610
54,255,302,844,965,981
104,195,493,573,671,725
121,171,547,264,373,974
78,151,296,400,641,754
58,187,755,503,800,805
116,592,565,687,815,629
134,172,667,804,666,875
76,140,9,628,925,774
300,575,588,591,607,609
138,327,890,543,806,906
242,416,434,816,995,877
82,668,708,802,892,994
306,393,753,440,821,990
111,484,861,958,714,890
72,84,664,719,932,923
173,69,353,464,722,904
101,407,457,162,492,680
614,696,781,424,849,958
78,205,277,311,428,799
102,687,700,333,443,712
673,609,586,749,686,810
75,295,387,827,917,517
5,21,333,450,751,885
45,332,330,212,997,709
51,132,185,375,719,581
204,436,847,136,814,632
344,529,597,618,766,878
130,104,280,753,672,919
471,122,602,636,923,944
311,312,360,476,614,791
369,559,775,747,810,873
154,249,441,599,354,627
250,297,544,428,575,699
13,59,409,383,724,923
53,166,350,664,781,888
95,595,653,688,860,914
106,24,519,443,732,881
146,209,242,742,666,832
251,47,897,617,270,773
183,363,889,626,742,977
4,26,637,661,819,904
236,489,407,492,498,769
68,310,508,586,918,963
32,150,705,270,949,991
97,315,591,556,594,855
36,534,384,602,755,984
206,355,689,390,700,715
106,755,582,801,817,826
31,208,246,898,872,969
27,81,184,335,675,849
48,398,412,514,728,688
49,163,76,458,437,624
100,180,205,747,247,950
161,284,430,411,504,591
52,744,85,960,992,927
738,846,386,944,805,964
131,190,537,495,481,959
28,254,380,123,529,859
49,230,608,513,609,837
164,811,122,576,394,541
239,413,887,38,678,849
129,203,228,795,541,804
195,579,665,683,431,696
32,252,682,188,800,749
90,246,83,399,696,719
286,191,387,758,924,998
650,477,520,765,717,815
84,936,261,485,352,487
27,197,445,382,529,1000
13,92,563,677,752,872
34,196,27,707,442,862
4,464,115,574,657,910
39,264,300,347,962,821
216,601,409,422,953,834
77,467,82,833,945,957
209,7,277,328,398,777
46,133,844,224,206,847
168,18,212,566,943,921
15,289,318,859,911,974
208,243,294,444,945,424
128,467,327,808,516,740
72,137,323,449,542,857
218,867,80,339,413,909
213,245,416,497,610,920
366,308,422,655,997,851
225,207,227,415,748,860
183,237,466,480,517,736
122,428,431,568,805,769
149,323,391,635,867,937
293,167,371,649,670,893
89,505,802,699,887,933
471,491,511,967,561,994
519,543,418,778,830,852
80,326,340,867,695,713
8,186,223,284,352,745
349,79,201,589,953,640
83,351,368,648,803,910
29,126,269,288,546,362
76,53,378,513,585,818
138,689,874,721,739,929
395,248,456,597,622,906
136,229,423,431,596,840
141,425,331,442,452,999
209,469,751,450,915,731
181,203,269,337,630,762
111,274,605,882,737,911
114,385,483,744,689,944
68,6,339,489,890,928
357,166,546,794,752,823
241,434,427,502,834,899
180,322,340,587,502,654
215,304,353,333,912,981
80,241,274,330,995,495
421,62,198,426,442,817
247,155,684,659,716,795
112,129,514,250,321,715
60,106,429,562,504,563
12,161,141,213,780,319
714,230,681,452,809,874
168,578,271,548,790,795
152,371,552,693,740,883
391,441,473,500,940,829
322,290,370,809,914,952
314,653,830,568,362,824
29,74,380,606,844,947
168,187,335,367,893,339
88,186,246,908,555,975
93,181,482,435,587,751
10,148,2,220,422,273
138,475,385,547,560,883
825,212,204,592,896,934
182,404,739,480,826,943
212,216,443,501,926,940
41,296,336,360,667,693
94,321,506,596,783,994
152,163,218,400,244,421
20,480,522,536,919,984
285,105,376,794,502,824
388,210,598,682,850,675
303,468,579,584,662,776
169,250,449,512,872,897
145,415,217,527,580,819
842,550,195,665,710,851
144,348,265,397,437,463
25,222,541,256,476,552
134,26,386,91,307,556
51,276,284,387,759,883
98,566,171,598,860,706
290,64,118,500,626,814
260,627,631,680,928,997
12,359,496,557,702,723
20,99,379,390,407,537
81,34,119,486,512,823
301,3,947,455,805,702
40,370,428,674,701,927
37,549,63,85,403,576
67,324,687,707,752,996
19,96,142,314,483,755
71,599,645,815,836,996
32,121,179,566,760,704
65,93,215,534,678,863
402,498,437,622,710,581
171,236,364,704,718,391
337,535,586,713,755,748
287,385,417,604,718,879
240,566,865,685,619,989
172,269,231,759,313,864
14,243,393,411,676,885
10,200,454,799,533,787
9,375,175,325,547,634
88,74,175,727,802,985
10,68,183,553,490,819
238,295,397,417,733,961
272,365,454,591,642,835
275,448,750,843,920,935
227,631,967,651,856,919
150,375,290,688,491,861
64,163,245,460,211,886
42,101,591,770,783,898
176,407,477,539,715,858
41,40,165,313,594,831
160,532,685,559,881,790
105,213,278,966,373,973
90,25,89,108,990,827
151,103,517,175,651,653
161,296,666,873,412,908
645,69,185,945,670,356
941,237,525,510,609,977
74,242,139,478,507,759
110,217,259,553,499,895
128,159,399,189,912,996
136,193,999,569,668,698
55,365,398,500,839,565
34,86,42,195,358,426
188,174,275,316,508,706
210,268,182,828,322,938
278,753,298,833,777,979
46,86,221,311,371,443
22,135,319,160,320,788
644,122,20,212,302,669
105,200,329,518,643,988
26,395,717,897,726,972
166,277,515,259,605,980
611,130,753,1,629,822
385,480,806,813,882,903
18,584,673,713,966,936
229,320,494,415,607,930
98,252,628,333,611,720
238,307,658,358,377,663
155,515,342,616,746,758
380,155,236,778,625,789
437,856,567,330,891,954
98,170,545,213,863,894
50,706,763,817,894,897
97,647,219,650,867,748
61,200,508,543,779,919
18,332,36,432,738,956
312,216,440,649,864,989
164,342,234,920,465,986
83,165,463,602,808,888
16,297,414,702,509,890
57,177,462,557,704,915
107,285,951,365,377,918
69,99,107,238,684,852
222,153,298,635,484,637
435,491,521,705,852,865
113,459,810,600,885,974
61,150,239,269,645,571
192,388,345,446,529,786
266,447,488,540,572,615
45,259,358,541,595,712
66,129,366,373,809,518
3,77,98,311,595,877
30,201,247,705,839,945
66,103,158,662,143,821
115,343,336,410,636,737
355,298,354,712,617,881
133,203,425,782,600,819
154,81,102,412,695,983
159,244,621,651,676,915
109,698,725,870,896,935
289,535,673,677,779,857
135,164,252,510,709,895
210,444,538,673,716,970
242,14,808,113,423,844
165,182,326,463,523,530
447,350,458,552,735,955
372,310,581,839,588,812
8,838,170,318,913,917
94,63,112,485,153,760
338,376,667,542,711,652
160,787,519,797,727,926
847,571,152,235,976,726
426,416,468,562,678,703
381,471,390,624,886,661
89,472,590,601,666,831
106,67,513,415,726,993
238,591,478,656,773,873
65,130,469,562,532,928
378,123,679,810,765,863
14,145,754,208,875,988
33,39,969,114,503,734
308,490,523,981,809,757
88,310,576,630,818,660
226,234,729,862,404,849
26,308,241,124,102,914
49,722,434,732,955,993
107,57,945,282,420,721
111,706,439,873,878,952
190,451,382,582,709,741
46,15,295,343,886,968
84,251,368,452,464,539
115,189,170,332,496,553
309,341,160,695,406,991
81,447,562,613,820,887
401,55,603,223,375,958
37,461,299,387,753,993
118,251,284,638,788,794
107,232,265,658,774,794
213,378,254,615,972,638
116,177,267,244,857,918
173,215,266,599,705,839
513,354,435,515,588,851
73,77,222,935,940,565
178,439,710,521,752,797
47,264,207,789,473,498
7,138,384,394,447,685
249,191,678,589,682,921
41,241,489,506,737,756
66,158,427,372,613,968
586,248,512,716,805,806
64,344,414,233,445,579
293,169,672,928,957,942
177,304,631,593,952,452
268,93,292,382,949,802
132,309,789,823,714,998
491,621,549,785,931,936
80,230,271,354,304,548
268,396,417,402,662,934
34,330,439,160,640,893
50,405,457,534,671,740
137,152,420,522,681,891
27,320,523,525,709,941
127,153,475,527,549,630
305,189,435,658,892,909
299,235,531,583,859,916
127,893,506,598,590,691
35,419,711,761,827,912
43,53,61,532,855,978
454,225,456,487,708,832
120,148,410,485,685,777
283,45,406,661,747,841
6,78,111,322,690,381
112,123,304,444,749,470
518,439,450,568,703,823
728,812,780,881,968,985
118,195,750,653,91,791
456,511,703,807,937,998
180,227,333,498,886,999
33,346,162,313,776,389
365,39,548,859,981,1000
187,702,761,635,837,970
136,353,375,601,638,956
721,400,777,830,947,975
13,749,616,673,797,983
73,61,538,932,780,861
738,858,164,35,799,911
74,181,270,397,632,924
56,475,525,726,517,962
116,119,228,367,436,951
399,245,545,358,994,801
637,219,298,429,476,979
262,523,495,578,658,636
39,851,837,75,328,948
773,786,920,557,878,867
604,144,831,833,873,989
151,516,321,200,703,846
56,137,558,660,838,898
196,215,696,834,493,951
80,150,321,665,836,964
17,238,542,615,453,988
30,303,602,253,475,562
135,392,221,438,821,902
64,177,209,520,847,979
37,51,675,249,357,991
24,136,742,743,976,519
334,360,799,479,801,939
55,167,350,355,950,653
307,134,243,334,433,353
22,38,71,382,385,692
46,125,169,304,455,608
99,251,132,372,662,682
79,159,297,574,462,774
16,119,298,606,488,626
182,89,98,235,423,611
167,38,289,563,617,790
92,120,576,732,853,900
71,129,627,632,865,908
144,316,147,542,610,764
369,714,462,523,526,894
458,733,466,763,809,623
19,433,488,615,980,652
113,531,167,631,720,973
261,276,558,372,739,952
144,788,848,927,869,982
117,272,567,343,739,901
535,158,686,555,564,741
334,100,290,408,984,487
95,182,183,406,457,883
99,386,559,507,898,617
550,551,795,614,914,769
45,257,427,467,593,600
9,116,187,489,490,506
202,546,252,255,341,811
10,625,548,640,804,857
198,400,464,465,800,910
120,305,352,346,472,963
140,879,78,809,933,982
123,299,282,331,399,496
68,150,319,536,843,954
108,21,716,988,990,939
79,86,300,493,547,879
180,303,274,730,976,961
29,302,612,774,812,879
45,450,461,570,480,697
40,99,246,263,505,481
16,349,420,485,862,881
389,11,792,812,798,938
91,393,354,481,763,999
11,75,251,589,853,875
43,263,620,940,900,950
229,528,261,613,540,620
2,285,196,339,935,965
41,401,885,854,570,989
102,86,634,519,635,823
188,559,770,775,903,934
89,314,220,438,715,610
142,173,326,801,352,861
22,229,372,504,829,930
308,314,352,363,665,937
78,377,745,404,908,784
126,128,162,636,685,947
258,369,184,436,528,946
191,409,711,791,739,792
344,202,220,345,723,403
257,639,827,603,781,901
553,379,654,869,934,720
6,553,784,672,829,964
186,504,619,736,678,693
30,124,174,309,619,803
208,654,967,721,724,883
292,85,426,440,497,930
496,11,438,570,722,733
87,291,435,778,970,916
182,202,207,283,389,895
231,615,623,795,752,870
210,156,329,178,336,431
64,392,253,644,835,924
199,429,740,766,804,942
22,162,335,527,578,862
601,117,652,859,390,960
69,314,337,854,929,973
66,261,494,677,517,834
56,173,230,662,497,878
58,151,900,559,923,922
108,398,141,179,256,928
52,143,371,607,543,918
279,456,447,460,499,714
368,575,839,738,918,940
120,344,371,984,491,759
34,373,838,938,914,939
202,703,727,967,838,932
360,120,500,202,784,560
33,38,58,185,695,710
104,927,438,556,858,921
311,347,556,585,702,873
448,650,567,479,830,698
341,43,583,903,671,730
265,227,617,698,915,793
194,147,234,282,374,558
199,338,656,763,724,878
615,14,286,574,470,700
127,167,551,647,672,798
70,257,397,417,535,536
152,351,324,337,871,906
132,229,560,599,822,977
21,50,91,302,315,467
546,176,361,843,547,655
94,527,772,920,720,930
10,317,474,460,838,556
224,513,594,885,846,930
8,321,493,655,743,844
781,70,422,798,807,904
276,325,416,828,803,910
682,356,396,715,815,841
37,281,518,467,600,989
205,323,899,616,905,971
211,473,520,674,535,966
192,244,306,338,466,612
102,486,228,294,874,850
154,157,649,693,663,967
299,574,949,593,978,998
176,602,664,669,901,916
98,217,444,469,494,814
237,274,629,458,700,803
60,183,579,219,262,733
12,174,256,370,492,771
93,266,742,770,792,836
48,113,342,503,737,958
13,321,782,459,942,979
89,307,581,404,689,939
409,472,525,597,333,537
226,264,414,558,793,925
9,482,397,691,682,399
406,446,544,589,707,811
38,109,236,701,959,921
15,270,768,843,818,943
44,56,295,915,619,743
216,43,510,324,545,848
47,63,141,263,752,657
127,139,719,857,961,964
364,398,471,708,833,840
82,421,532,660,626,788
388,534,453,565,757,943
76,267,413,441,286,850
51,298,325,598,697,683
69,712,589,879,407,741
130,907,403,939,598,725
67,393,413,622,868,962
808,305,610,598,938,941
644,105,680,818,888,986
306,75,604,751,785,856
90,296,341,383,709,388
233,295,129,452,359,955
99,205,643,661,882,663
100,126,148,308,442,554
157,158,336,720,870,948
168,493,595,33,621,813
41,664,85,430,606,947
257,541,690,646,704,948
316,10,448,826,885,971
230,454,410,543,652,791
72,119,447,558,800,972
157,207,338,383,404,609
147,420,429,845,439,655
29,73,342,383,943,675
59,73,344,326,582,955
274,391,483,772,807,895
71,324,457,165,766,957
126,187,283,211,667,962
287,341,450,624,937,561
234,350,379,602,757,711
283,489,589,620,895,756
149,401,484,627,815,999
67,1,557,338,482,860
44,77,134,461,841,950
577,126,714,734,854,964
481,348,475,219,877,765
157,583,729,603,888,975
96,667,253,828,721,825
162,746,836,879,446,912
239,208,292,408,860,633
285,537,560,576,642,675
461,477,532,720,891,905
205,675,60,539,631,978
49,486,622,692,767,724
445,131,213,798,255,680
379,22,469,371,689,922
130,51,189,722,690,730
142,52,191,713,816,832
15,277,733,807,818,950
396,516,483,764,908,933
143,157,418,474,734,966
403,410,775,550,854,996
196,229,254,504,366,788
255,316,445,453,510,786
450,378,456,571,648,690
115,131,499,762,935,699
225,70,610,667,728,766
23,51,567,520,641,908
35,63,633,673,922,953
116,712,194,407,630,549
380,367,463,581,671,987
119,224,641,401,394,443
17,387,519,520,775,961
24,185,233,288,465,819
448,502,671,872,663,774
3,256,299,679,522,858
53,492,347,656,757,701
150,163,410,451,583,991
436,336,477,557,474,765
42,757,700,799,842,995
5,267,297,553,356,735
169,207,317,346,618,790
128,874,791,345,758,970
181,26,109,711,838,842
268,168,503,942,684,871
202,210,684,342,524,584
145,192,725,250,569,822
95,351,495,496,549,681
32,92,506,330,427,824
142,211,628,669,687,726
361,25,290,789,504,936
23,415,561,646,681,854
158,178,263,497,649,769
143,336,563,633,870,961
221,481,392,777,668,835
277,348,382,786,988,973
60,140,180,204,846,266
122,124,386,444,751,922
305,670,807,899,837,998
4,17,316,759,485,931
214,413,457,723,528,784
199,19,451,731,898,962
76,211,135,590,624,764
161,339,49,291,578,921
100,143,177,808,528,976
71,323,422,641,681,953
111,368,647,843,876,963
62,69,133,740,478,861
77,239,263,848,588,735
256,486,831,564,939,956
748,203,350,597,613,992
281,630,756,796,776,982
232,236,334,359,728,775
577,858,792,630,813,825
279,395,636,424,754,886
50,483,140,628,328,593
67,138,153,218,892,961
31,146,301,315,638,846
8,361,410,413,625,770
503,117,717,507,730,816
